UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,ambient_temp_c,factory_load_pct,humidity_pct
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2023-01-01 00:00:00,15.802895262430948,69.56890804933238,64.96498955542947
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,2023-01-01 01:00:00,13.782311643198291,57.721723937747576,71.34709798570621
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,2023-01-01 02:00:00,20.12676969849892,73.53485646023026,67.71102231911294
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,2023-01-01 03:00:00,17.03284908304272,74.62313245558556,61.443841297879956
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,2023-01-01 04:00:00,14.384229728662481,69.73324007924286,64.01942854055358
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2023-01-01 05:00:00,16.640803365141917,71.48271771900636,65.58307313009483
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,2023-01-01 06:00:00,15.084075095613333,74.95714819009788,66.91539387471981
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,2023-01-01 07:00:00,13.46290549375868,77.9681518744606,59.81712535856325
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2023-01-01 08:00:00,14.796189659908903,71.29113267400062,78.61579445778463
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2023-01-01 09:00:00,13.50267657780159,72.99661670948693,64.73834193908802
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2023-01-01 10:00:00,14.206605481476725,75.30056671678528,66.71514453135507
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2023-01-01 11:00:00,15.340166334143957,63.759792430942305,62.05191596205217
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2023-01-01 12:00:00,14.895042153928335,66.00300373849286,66.41751340164997
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2023-01-01 13:00:00,16.17742971621792,50.43818459165547,72.91262959068371
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,2023-01-01 14:00:00,15.367177574095601,38.94089115577812,71.1461626390557
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,2023-01-01 15:00:00,16.745638204828797,43.22023919847205,64.00091931714293
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2023-01-01 16:00:00,15.079507948990365,38.28433195495028,67.45433092201894
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2023-01-01 17:00:00,11.322195890727645,32.999268106611375,57.556495514398634
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2023-01-01 18:00:00,17.471337581385093,28.321748322877607,64.67875152032055
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2023-01-01 19:00:00,14.632699938374447,40.05528918629717,68.54616030814704
